"","Name","First_Election","Second_Election","First_Primary","Second_Primary","First_General","Second_General","First_Special","Second_Special","First_Year","Second_Year","Ward","Incumbency","Second_Win"
"58","James C. Taylor",100,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","16",0,0
"59","Jerome M. Orbach",100.721901377166,108.476551121468,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1983","1987","46",1,1
"60","Jesse D. Granato",106.435643564356,120.348011363636,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","1",1,1
"61","Jesse J. Evans",100,347.679492264974,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","21",0,1
"62","Jesse L. Miller, Jr.",122.442638623327,100,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","24",1,0
"63","Jessie R. Ramos",52.5354969574037,17.5941540191119,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","22",0,0
"64","Jesus G. Garcia",405.476673427992,152.164137155705,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","22",1,1
"65","Joe Moore",110.393046107332,355.410903173312,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","49",1,1
"66","John Baggett",100,100,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","37",0,0
"67","John C. Marcin",156.51087228193,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1979","1983","35",1,0
"68","John J. Buchanan",135.40062153763,154.134046209662,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1991","1995","1",1,1
"69","John O. Steele",106.63045352647,216.169049621531,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"1989","1991","6",1,1
"70","Johnny Acoff",73.3864541832669,69.365798414496,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","7",0,0
"71","Johnny J. O'neal",8.03571428571429,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","9",0,0
"72","Johnny Johnson",44.7247706422018,18.7887323943662,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","37",0,0
